No de factura;Fecha de factura;ID Cliente;Pai­s;Cantidad;Monto
548370;3/30/2021;15528;United Kingdom;123;229
575767;11/11/2021;17348;United Kingdom;163;210
570727;10/12/2021;12471;Germany;-1;-1
549106;04/06/2021;17045;United Kingdom;1;40
573112;10/27/2021;16416;United Kingdom;357;345
576630;11/16/2021;13816;Germany;91;200
538125;12/09/2020;18225;United Kingdom;16;30
544354;2/18/2021;13489;United Kingdom;64;77
546369;03/11/2021;15513;United Kingdom;10;68
570651;10/11/2021;14911;EIRE;86;321
543628;02/10/2021;16558;United Kingdom;-5;-9
539736;12/21/2020;;United Kingdom;143;1172
537823;12/08/2020;;United Kingdom;1484;6074
575581;11/10/2021;12659;France;105;92
580987;12/06/2021;17389;United Kingdom;96;720
543754;02/11/2021;18159;United Kingdom;139;530
542418;1/27/2021;;United Kingdom;-17;0
553508;5/17/2021;14000;United Kingdom;-3;-2
563233;8/14/2021;17988;United Kingdom;1;3
545417;03/02/2021;15622;United Kingdom;222;576
577693;11/21/2021;12628;Germany;-3;-17
550759;4/20/2021;;United Kingdom;-7;0
547309;3/22/2021;17416;United Kingdom;-12;-45
556427;06/10/2021;;United Kingdom;92;436
555404;06/02/2021;17231;United Kingdom;-2;-20
576571;11/15/2021;12950;United Kingdom;164;312
550623;4/19/2021;13719;United Kingdom;78;133
576083;11/14/2021;17404;Sweden;1060;1238
562417;08/04/2021;;United Kingdom;526;1691
570733;10/12/2021;17190;United Kingdom;160;250
537026;12/03/2020;12395;Belgium;528;346
552837;05/11/2021;12901;United Kingdom;72;140
579925;12/01/2021;15544;United Kingdom;-3;-3
550535;4/19/2021;14211;United Kingdom;72;156
555213;06/01/2021;13094;United Kingdom;144;153
549923;4/13/2021;13138;United Kingdom;72;194
575198;11/09/2021;12921;United Kingdom;19;71
549986;4/13/2021;18178;United Kingdom;-2;-8
569005;9/29/2021;16268;United Kingdom;465;494
566307;09/12/2021;14307;United Kingdom;323;656
539049;12/15/2020;15615;United Kingdom;364;1049
549684;04/11/2021;;United Kingdom;1;30
580068;12/01/2021;17321;United Kingdom;5;41
542745;1/31/2021;15881;United Kingdom;154;339
575525;11/10/2021;13983;United Kingdom;72;129
562884;08/10/2021;14056;United Kingdom;-3;-10
560842;7/21/2021;14527;United Kingdom;-1;-12
542936;02/02/2021;;United Kingdom;144;162
565682;09/06/2021;14796;United Kingdom;467;836
562514;08/05/2021;13408;United Kingdom;-1;-12
562220;08/03/2021;15150;United Kingdom;108;304
562002;08/01/2021;14567;United Kingdom;172;801
561210;7/25/2021;17841;United Kingdom;-10;-13
545502;03/03/2021;15078;United Kingdom;-10;-20
538010;12/09/2020;17526;United Kingdom;40;227
579089;11/28/2021;17920;United Kingdom;58;111
560713;7/20/2021;16774;United Kingdom;56;161
571098;10/13/2021;17841;United Kingdom;200;437
574994;11/08/2021;17870;United Kingdom;62;143
570257;10/10/2021;13767;United Kingdom;129;380
541669;1/20/2021;17315;United Kingdom;172;332
560687;7/20/2021;14606;United Kingdom;-28;-23
569891;10/06/2021;13924;United Kingdom;-19;-65
552404;05/09/2021;15932;United Kingdom;262;305
566035;09/08/2021;12839;United Kingdom;286;414
576911;11/17/2021;17461;United Kingdom;342;349
572272;10/21/2021;13171;United Kingdom;60;133
577783;11/21/2021;18139;United Kingdom;1644;2786
578757;11/25/2021;12748;United Kingdom;256;420
553557;5/17/2021;13266;United Kingdom;-2;-3
542351;1/27/2021;14560;United Kingdom;39;152
558245;6/27/2021;;United Kingdom;8;0
578090;11/22/2021;12483;Sweden;-2;-80
559164;07/06/2021;16422;United Kingdom;406;587
578150;11/23/2021;16020;United Kingdom;10;17
558770;07/03/2021;12748;United Kingdom;60;116
569552;10/04/2021;14533;United Kingdom;-1200;-84
550646;4/19/2021;16873;United Kingdom;-6;-14
571329;10/17/2021;17706;United Kingdom;-13;-51
544557;2/21/2021;17422;United Kingdom;-15;-55
539277;12/16/2020;15777;United Kingdom;-3;-26
577731;11/21/2021;17811;United Kingdom;-6;-12
580386;12/04/2021;18065;United Kingdom;50;189
553866;5/19/2021;14620;United Kingdom;-26;-20
570252;10/10/2021;14665;United Kingdom;238;560
536782;12/02/2020;17567;United Kingdom;244;518
544594;2/21/2021;15079;United Kingdom;-1;-2
571082;10/13/2021;;United Kingdom;479;1355
551984;05/05/2021;15841;United Kingdom;234;282
554931;5/27/2021;17841;United Kingdom;-4;-5
564476;8/25/2021;12610;Italy;168;310
540353;01/06/2021;13764;United Kingdom;282;500
558706;07/01/2021;16839;United Kingdom;320;417
566278;09/11/2021;13614;United Kingdom;67;302
540477;01/07/2021;13233;United Kingdom;404;304
569695;10/05/2021;16843;United Kingdom;938;994
556920;6/15/2021;13047;United Kingdom;-3;-14
543469;02/08/2021;12709;Germany;-12;-84
538308;12/10/2020;14107;United Kingdom;268;363
549054;04/06/2021;17719;United Kingdom;109;312
555626;06/06/2021;16103;United Kingdom;92;271
572343;10/24/2021;14607;United Kingdom;-2344;-2949
558530;6/30/2021;15039;United Kingdom;-2;-17
563921;8/21/2021;16407;United Kingdom;2;16
563943;8/22/2021;13139;United Kingdom;268;541
575854;11/11/2021;14125;United Kingdom;486;1111
552764;05/11/2021;17489;United Kingdom;232;209
571407;10/17/2021;13750;United Kingdom;85;331
548208;3/29/2021;14189;United Kingdom;224;314
556922;6/15/2021;12748;United Kingdom;5;14
572076;10/20/2021;13761;United Kingdom;418;579
544189;2/16/2021;15867;United Kingdom;36;133
562543;08/05/2021;13552;United Kingdom;216;464
573136;10/27/2021;12709;Germany;110;269
558261;6/28/2021;16945;United Kingdom;24;10
581482;12/09/2021;17490;United Kingdom;228;488
579740;11/30/2021;;United Kingdom;13;32
559538;07/10/2021;16880;United Kingdom;135;269
548862;04/04/2021;17956;United Kingdom;1;13
565569;09/05/2021;14111;United Kingdom;18;48
556047;06/08/2021;12901;United Kingdom;90;276
548189;3/29/2021;16607;United Kingdom;163;141
557213;6/17/2021;15021;United Kingdom;119;218
549142;04/06/2021;;United Kingdom;-24;0
571310;10/17/2021;13394;United Kingdom;463;372
542254;1/26/2021;14733;United Kingdom;133;512
576674;11/16/2021;;United Kingdom;-6;0
553841;5/19/2021;16029;United Kingdom;-48;-10
548546;3/31/2021;16600;United Kingdom;186;112
558563;6/30/2021;14561;United Kingdom;192;345
543385;02/07/2021;;United Kingdom;1;8
546034;03/09/2021;14032;United Kingdom;291;310
557602;6/21/2021;14110;United Kingdom;156;380
544596;2/21/2021;16441;United Kingdom;110;211
553006;05/12/2021;15544;United Kingdom;393;560
542634;1/31/2021;15448;United Kingdom;232;495
540536;01/09/2021;17757;United Kingdom;93;146
536568;12/01/2020;16048;United Kingdom;12;5
545686;03/06/2021;18211;United Kingdom;56;138
553861;5/19/2021;13591;United Kingdom;135;314
551015;4/26/2021;12753;Japan;-33;-85
567370;9/20/2021;14236;United Kingdom;272;302
560034;7/14/2021;13933;United Kingdom;113;301
547419;3/23/2021;15061;United Kingdom;1135;1650
565681;09/06/2021;15521;United Kingdom;-92;-192
565081;09/01/2021;;United Kingdom;1;0
565680;09/06/2021;14560;United Kingdom;240;101
561244;7/26/2021;13865;United Kingdom;54;101
576831;11/16/2021;12748;United Kingdom;-1082;-1301
542155;1/26/2021;15777;United Kingdom;112;286
572023;10/20/2021;17764;United Kingdom;247;557
577749;11/21/2021;16242;United Kingdom;299;534
537383;12/06/2020;16550;United Kingdom;-3;-9
550901;4/21/2021;13389;United Kingdom;115;258
555546;06/05/2021;17735;United Kingdom;118;228
561900;7/31/2021;16655;United Kingdom;523;638
547963;3/28/2021;13037;United Kingdom;158;250
575968;11/13/2021;14882;United Kingdom;92;342
571745;10/19/2021;14911;EIRE;711;1589
539986;12/23/2020;;United Kingdom;7;15
543115;02/03/2021;14606;United Kingdom;72;121
552947;05/12/2021;16943;United Kingdom;20;172
550002;4/14/2021;12709;Germany;41;68
551320;4/27/2021;;United Kingdom;60;0
569539;10/04/2021;18102;United Kingdom;112;558
569863;10/06/2021;;United Kingdom;1;10
545812;03/07/2021;14214;United Kingdom;313;639
569740;10/06/2021;15769;United Kingdom;1600;2924
564648;8/26/2021;15641;United Kingdom;466;582
573751;11/01/2021;;United Kingdom;10;0
551859;05/04/2021;14336;United Kingdom;301;230
538070;12/09/2020;16519;United Kingdom;24;104
576848;11/16/2021;15051;United Kingdom;124;246
546442;3/14/2021;15159;United Kingdom;54;207
560422;7/18/2021;16746;United Kingdom;162;300
541967;1/24/2021;;United Kingdom;-3;0
546894;3/17/2021;14334;United Kingdom;-1;-13
559948;7/14/2021;12653;Israel;633;1431
539688;12/21/2020;12678;France;1;150
548916;04/05/2021;14849;United Kingdom;377;422
576767;11/16/2021;;United Kingdom;-60;0
565851;09/07/2021;14911;EIRE;332;637
538909;12/15/2020;13491;United Kingdom;18;98
553475;5/17/2021;18102;United Kingdom;306;866
536523;12/01/2020;12868;United Kingdom;112;203
547571;3/24/2021;16265;United Kingdom;182;432
557871;6/23/2021;13458;United Kingdom;130;301
565290;09/02/2021;16092;United Kingdom;-24;-30
553017;05/12/2021;12757;Portugal;311;603
549471;04/08/2021;17389;United Kingdom;72;74
573924;11/02/2021;15065;United Kingdom;202;299
554011;5/20/2021;13151;United Kingdom;-2;-8
576641;11/16/2021;17549;United Kingdom;150;121
574746;11/07/2021;16523;United Kingdom;198;677
546019;03/08/2021;14507;United Kingdom;50;39
556809;6/14/2021;17179;United Kingdom;82;223
567768;9/22/2021;15950;United Kingdom;123;256
574661;11/06/2021;13447;United Kingdom;166;430
575940;11/13/2021;17838;United Kingdom;-458;-467
549838;04/12/2021;16705;United Kingdom;48;96
547519;3/23/2021;16308;United Kingdom;1000;320
554140;5/23/2021;13004;United Kingdom;-4;-16
